gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
MLYCD,ENSG00000103150,O95822,Malonyl-CoA decarboxylase,16,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
MPG,ENSG00000103152,P29372,N-methylpurine DNA glycosylase,16,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
NECAB2,ENSG00000103154,Q7Z6G3,N-terminal EF-hand calcium binding protein 2,16,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in many
HSDL1,ENSG00000103160,Q3SXM5,Hydroxysteroid dehydrogenase like 1,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
TAF1C,ENSG00000103168,Q15572,"TATA-box binding protein associated factor, RNA polymerase I subunit C",16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NAGPA,ENSG00000103174,Q9UK23,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,16,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
WFDC1,ENSG00000103175,Q9HC57,WAP four-disulfide core domain 1,16,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
SEC14L5,ENSG00000103184,O43304,SEC14 like lipid binding 5,16,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in some
COTL1,ENSG00000103187,Q14019,Coactosin like F-actin binding protein 1,16,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
USP10,ENSG00000103194,Q14694,Ubiquitin specific peptidase 10,16,"Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CRISPLD2,ENSG00000103196,Q9H0B8,Cysteine rich secretory protein LCCL domain containing 2,16,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in all
TSC2,ENSG00000103197,P49815,TSC complex subunit 2,16,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZNF500,ENSG00000103199,O60304,Zinc finger protein 500,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
NME4,ENSG00000103202,O00746,NME/NM23 nucleoside diphosphate kinase 4,16,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ABCC1,ENSG00000103222,P33527,ATP binding cassette subfamily C member 1,16,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
NOMO3,ENSG00000103226,P69849,NODAL modulator 3,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
LMF1,ENSG00000103227,Q96S06,Lipase maturation factor 1,16,"Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
FOXF1,ENSG00000103241,Q12946,Forkhead box F1,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
CIAO3,ENSG00000103245,Q9H6Q4,Cytosolic iron-sulfur assembly component 3,16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MTHFSD,ENSG00000103248,Q2M296,Methenyltetrahydrofolate synthetase domain containing,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CLCN7,ENSG00000103249,P51798,Chloride voltage-gated channel 7,16,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
HAGHL,ENSG00000103253,Q6PII5,Hydroxyacylglutathione hydrolase like,16,"Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ANTKMT,ENSG00000103254,Q9BQD7,Adenine nucleotide translocase lysine methyltransferase,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
SLC7A5,ENSG00000103257,Q01650,Solute carrier family 7 member 5,16,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
METRN,ENSG00000103260,Q9UJH8,"Meteorin, glial cell differentiation regulator",16,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
FBXO31,ENSG00000103264,Q5XUX0,F-box protein 31,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
STUB1,ENSG00000103266,Q9UNE7,STIP1 homology and U-box containing protein 1,16,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RHBDL1,ENSG00000103269,O75783,Rhomboid like 1,16,"Enzymes, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
NUBP1,ENSG00000103274,P53384,"NUBP iron-sulfur cluster assembly factor 1, cytosolic",16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
UBE2I,ENSG00000103275,P63279,Ubiquitin conjugating enzyme E2 I,16,"Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
ZP2,ENSG00000103310,Q05996,Zona pellucida glycoprotein 2,16,"Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in some
MEFV,ENSG00000103313,O15553,"MEFV innate immuity regulator, pyrin",16,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
CRYM,ENSG00000103316,Q14894,Crystallin mu,16,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
EEF2K,ENSG00000103319,O00418,Eukaryotic elongation factor 2 kinase,16,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
CAPN15,ENSG00000103326,O75808,Calpain 15,16,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
PIEZO1,ENSG00000103335,Q92508,Piezo type mechanosensitive ion channel component 1,16,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in many
GSPT1,ENSG00000103342,P15170,G1 to S phase transition 1,16,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZNF174,ENSG00000103343,Q15697,Zinc finger protein 174,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CLUAP1,ENSG00000103351,Q96AJ1,Clusterin associated protein 1,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
UBFD1,ENSG00000103353,O14562,Ubiquitin family domain containing 1,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
PRSS33,ENSG00000103355,Q8NF86,Serine protease 33,16,"Enzymes, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in single
EARS2,ENSG00000103356,Q5JPH6,"Glutamyl-tRNA synthetase 2, mitochondrial",16,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
ELOB,ENSG00000103363,Q15370,Elongin B,16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
GGA2,ENSG00000103365,Q9UJY4,"Golgi associated, gamma adaptin ear containing, ARF binding protein 2",16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
AQP8,ENSG00000103375,O94778,Aquaporin 8,16,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in some
CPPED1,ENSG00000103381,Q9BRF8,Calcineurin like phosphoesterase domain containing 1,16,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
USP31,ENSG00000103404,Q70CQ4,Ubiquitin specific peptidase 31,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
HMOX2,ENSG00000103415,P30519,Heme oxygenase 2,16,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
DNAJA3,ENSG00000103423,Q96EY1,DnaJ heat shock protein family (Hsp40) member A3,16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CORO7-PAM16,ENSG00000103426,,CORO7-PAM16 readthrough,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in single
BFAR,ENSG00000103429,Q9NZS9,Bifunctional apoptosis regulator,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
SALL1,ENSG00000103449,Q9NSC2,Spalt like transcription factor 1,16,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
TOX3,ENSG00000103460,O15405,TOX high mobility group box family member 3,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
RBL2,ENSG00000103479,Q08999,RB transcriptional corepressor like 2,16,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
QPRT,ENSG00000103485,Q15274,Quinolinate phosphoribosyltransferase,16,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
XYLT1,ENSG00000103489,Q86Y38,Xylosyltransferase 1,16,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in many
PYCARD,ENSG00000103490,Q9ULZ3,PYD and CARD domain containing,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
RPGRIP1L,ENSG00000103494,Q68CZ1,RPGRIP1 like,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
MAZ,ENSG00000103495,P56270,MYC associated zinc finger protein,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
STX4,ENSG00000103496,Q12846,Syntaxin 4,16,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
CDIPT,ENSG00000103502,O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,16,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
BCKDK,ENSG00000103507,O14874,Branched chain keto acid dehydrogenase kinase,16,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
KAT8,ENSG00000103510,Q9H7Z6,Lysine acetyltransferase 8,16,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
NOMO1,ENSG00000103512,Q15155,NODAL modulator 1,16,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
IL21R,ENSG00000103522,Q9HBE5,Interleukin 21 receptor,16,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in some
